_id,url
"""60769ce493e5a912a9a85172""",https://www.allall45.net/completion/weblist/2251
"""60769d443fd75f822e55ca19""",https://www.allall45.net/completion/weblist/2251
"""60769da8c7493c1d894b4dd8""",https://www.allall45.net/completion/weblist/2251
"""60769dfef9e83c9220655d12""",https://www.allall45.net/completion/weblist/2251
"""60769fb0d9a22b6ed19da076""",https://www.allall45.net/completion/weblist/2251
"""6076a0038551d6fb078dd7e5""",https://www.allall45.net/completion/weblist/2251
"""6076a05326c82ba28746c71d""",https://www.allall45.net/completion/weblist/2251
"""6076a33ad77210f8e949a6f3""",https://www.allall45.net/completion/weblist/2251
"""6076a46e86d64e044cab7afe""",https://www.allall45.net/completion/weblist/2251
"""6076a51a9c9385f59b0c0944""",https://www.allall45.net/completion/weblist/2251
